Incident.year,Latitude,Longitude,Victim.injury,Species.clean,Activity.clean,State,Location,Provoked.unprovoked,Decade
1791,-33.86666667,151.2,fatal,White Shark,Swimming,NSW,near sydney,unprovoked,1790
1803,-25.83333333,113.8833333,injured,Tiger Shark,Swimming,WA,"hamelin bay, faure island",unprovoked,1800
1807,-33.86666667,151.2,injured,Bull Shark,Swimming,NSW,"cockle bay, sydney harbour",unprovoked,1800
1820,-42.8,147.5333333,fatal,Unknown,Swimming,TAS,"sweetwater point, pitt water",provoked,1820
1825,-33.85,151.2166667,injured,Bull Shark,Swimming,NSW,"kirribili point, sydney harbour",unprovoked,1820
1830,-43.28333333,147.3333333,injured,White Shark,Swimming,TAS,bruny island,unprovoked,1830
1832,-33.86666667,151.1833333,injured,Bull Shark,Swimming,NSW,"blackwattle bay, glebe, sydney harbour",provoked,1830
1832,-33.83333333,151.2666667,injured,White Shark,Fishing,NSW,"south head, sydney harbour",provoked,1830
1836,-34.95,138.5,injured,White Shark,Swimming,SA,holdfast bay,unprovoked,1830
1836,-25.48333333,152.9833333,fatal,Whaler Shark,Swimming,QLD,fraser island,unprovoked,1830
1836,-25.48333333,152.9833333,fatal,Whaler Shark,Swimming,QLD,fraser island,unprovoked,1830
1837,-30.93333333,153.0166667,fatal,Bull Shark,Swimming,NSW,macleay river,unprovoked,1830
1839,-38.98333333,146.45,fatal,White Shark,Swimming,VIC,"sealer's cove, wilson's promontory",provoked,1830
1840,-33.85,151.2166667,fatal,Bull Shark,Swimming,NSW,"wooloomooloo bay, sydney harbour",unprovoked,1840
1841,-33.83333333,151.1666667,fatal,Bull Shark,Swimming,NSW,"cockatoo island, sydney harbour",unprovoked,1840
1847,-27.25,153.25,injured,Bull Shark,Swimming,QLD,moreton bay,unprovoked,1840
1847,-27.43333333,153.0833333,injured,Bull Shark,Swimming,QLD,brisbane river,unprovoked,1840
1849,-33.36666667,115.2833333,fatal,White Shark,Swimming,WA,"quindalup, busselton",provoked,1840
1849,-38.33333333,141.6,injured,White Shark,Swimming,VIC,portland,unprovoked,1840
1849,-33.81666667,151.2,fatal,Bull Shark,Swimming,NSW,"woolloomooloo bay, sydney harbour",unprovoked,1840
1850,-27.28333333,153.2166667,fatal,Tiger Shark,Swimming,QLD,moreton bay,unprovoked,1850
1850,-29.41666667,153.3333333,injured,Whaler Shark,Swimming,NSW,"yamba, clarence head",unprovoked,1850
1853,-33.85,151.2166667,injured,Wobbegong,Swimming,NSW,sydney harbour,provoked,1850
1855,-25.5,152.7166667,injured,Bull Shark,Swimming,QLD,mary river,unprovoked,1850
