State,Incident.month,Month.name,count,normalised
NSW,1,Jan,91,1.0
NSW,2,Feb,62,0.681
NSW,3,Mar,42,0.462
NSW,4,Apr,38,0.418
NSW,5,May,15,0.165
NSW,6,Jun,22,0.242
NSW,7,Jul,17,0.187
NSW,8,Aug,8,0.088
NSW,9,Sep,20,0.22
NSW,10,Oct,26,0.286
NSW,11,Nov,32,0.352
NSW,12,Dec,65,0.714
NT,1,Jan,3,1.0
NT,2,Feb,1,0.333
NT,3,Mar,2,0.667
NT,4,Apr,1,0.333
NT,6,Jun,1,0.333
NT,7,Jul,3,1.0
NT,9,Sep,2,0.667
NT,10,Oct,3,1.0
NT,11,Nov,1,0.333
NT,12,Dec,2,0.667
QLD,1,Jan,72,1.0
QLD,2,Feb,27,0.375
QLD,3,Mar,32,0.444
QLD,4,Apr,28,0.389
QLD,5,May,18,0.25
QLD,6,Jun,9,0.125
QLD,7,Jul,17,0.236
QLD,8,Aug,18,0.25
QLD,9,Sep,18,0.25
QLD,10,Oct,36,0.5
QLD,11,Nov,43,0.597
QLD,12,Dec,52,0.722
SA,1,Jan,10,0.833
SA,2,Feb,12,1.0
SA,3,Mar,11,0.917
SA,4,Apr,4,0.333
SA,5,May,3,0.25
SA,6,Jun,4,0.333
SA,7,Jul,1,0.083
SA,8,Aug,3,0.25
SA,9,Sep,9,0.75
SA,10,Oct,3,0.25
SA,11,Nov,3,0.25
SA,12,Dec,10,0.833
TAS,1,Jan,8,1.0
TAS,2,Feb,4,0.5
TAS,4,Apr,1,0.125
TAS,6,Jun,4,0.5
TAS,7,Jul,4,0.5
TAS,8,Aug,2,0.25
TAS,9,Sep,1,0.125
TAS,10,Oct,2,0.25
TAS,12,Dec,1,0.125
VIC,1,Jan,11,0.733
VIC,2,Feb,15,1.0
VIC,3,Mar,11,0.733
VIC,4,Apr,2,0.133
VIC,5,May,1,0.067
VIC,6,Jun,4,0.267
VIC,7,Jul,4,0.267
VIC,8,Aug,3,0.2
VIC,9,Sep,1,0.067
VIC,10,Oct,4,0.267
VIC,11,Nov,8,0.533
VIC,12,Dec,6,0.4
WA,1,Jan,28,1.0
WA,2,Feb,25,0.893
WA,3,Mar,21,0.75
WA,4,Apr,13,0.464
WA,5,May,11,0.393
WA,6,Jun,13,0.464
WA,7,Jul,9,0.321
WA,8,Aug,9,0.321
WA,9,Sep,10,0.357
WA,10,Oct,14,0.5
WA,11,Nov,26,0.929
WA,12,Dec,20,0.714
