age_bin,Victim.injury,count
0,injured,1
5,fatal,1
5,injured,10
10,fatal,19
10,injured,48
10,uninjured,9
15,fatal,41
15,injured,98
15,uninjured,10
20,fatal,31
20,injured,69
20,uninjured,7
25,fatal,21
25,injured,42
25,uninjured,20
30,fatal,17
30,injured,34
30,uninjured,17
35,fatal,11
35,injured,33
35,uninjured,12
40,fatal,6
40,injured,32
40,uninjured,9
45,fatal,3
45,injured,19
45,uninjured,9
50,fatal,9
50,injured,11
50,uninjured,4
55,fatal,4
55,injured,13
55,uninjured,4
60,fatal,4
60,injured,7
60,uninjured,2
65,injured,5
70,fatal,1
70,uninjured,2
80,fatal,1
