Incident.year,Latitude,Longitude,Victim.injury,Activity.clean,County,Decade
1950,32.5883333333,-117.1466666667,injured,Swimming,San Diego,1950
1952,32.5883333333,-117.2466666667,injured,Swimming,San Diego,1950
1952,36.6266666667,-122.05,fatal,Swimming,Monterey,1950
1955,36.6266666667,-122.15,injured,Diving,Monterey,1950
1956,35.1383333333,-120.6466666667,injured,Swimming,San Luis Obispo,1950
1957,35.4033333333,-120.875,fatal,Swimming,San Luis Obispo,1950
1958,32.685,-117.2166666667,injured,Swimming,San Diego,1950
1959,37.7936,-122.4836,fatal,Swimming,San Francisco,1950
1959,32.855,-117.28,fatal,Diving,San Diego,1950
1959,32.855,-117.38,injured,Diving,San Diego,1950
1959,38.295,-123.0466666667,uninjured,Diving,Sonoma,1950
1959,34.0183333333,-118.7833333333,injured,Diving,Los Angeles,1950
1960,38.1816666667,-122.965,injured,Diving,Marin,1960
1960,36.96,-122.095,injured,Swimming,Santa Cruz,1960
1961,38.1816666667,-123.065,uninjured,Diving,Marin,1960
1961,38.3583333333,-123.0766666667,injured,Swimming,Sonoma,1960
1962,37.72,-123.0316666667,injured,Diving,Island - Farallones,1960
1962,37.72,-123.1316666667,injured,Diving,Island - Farallones,1960
1964,37.72,-123.2316666667,injured,Diving,Island - Farallones,1960
1966,36.5833333333,-122.0423722,injured,Diving,Monterey,1960
1968,38.295,-123.1466666667,injured,Diving,Sonoma,1960
1969,38.1816666667,-123.165,injured,Diving,Marin,1960
1971,34.7583333333,-120.6416666667,injured,Diving,Santa Barbara,1970
1971,38.6666666667,-123.43,injured,Diving,Sonoma,1970
1972,38.1816666667,-123.265,injured,Diving,Marin,1970
1974,38.1816666667,-123.365,injured,Diving,Marin,1970
1974,39.2283333333,-123.7766666667,injured,Diving,Mendocino,1970
1974,37.3233333333,-122.4083333333,injured,Surfing/Boarding,San Mateo,1970
1974,37.15,-122.3666666667,injured,Diving,San Mateo,1970
1974,37.15,-122.4666666667,injured,Diving,San Mateo,1970
1974,37.72,-123.3316666667,injured,Diving,Island - Farallones,1970
1974,36.3133333333,-121.9966666667,injured,Surfing/Boarding,Monterey,1970
1975,34.45,-120.475,uninjured,Diving,Santa Barbara,1970
1975,34.45,-120.575,injured,Diving,Santa Barbara,1970
1975,39.82,-123.8566666667,injured,Diving,Mendocino,1970
1975,37.72,-123.4316666667,injured,Diving,Island - Farallones,1970
1976,41.025,-124.1116666667,injured,Surfing/Boarding,Humboldt,1970
1976,34.04,-120.4366666667,injured,Diving,Island - San Miguel,1970
1977,38.1816666667,-123.465,injured,Diving,Marin,1970
1978,36.86,-121.81,injured,Swimming,Santa Cruz,1970
1979,37.1083333333,-122.3433333333,uninjured,Diving,San Mateo,1970
1980,41.025,-124.2116666667,uninjured,Surfing/Boarding,Humboldt,1980
1981,36.6266666667,-122.25,fatal,Surfing/Boarding,Monterey,1980
1982,38.5433333333,-123.305,injured,Diving,Sonoma,1980
1982,35.2366666667,-120.9066666667,uninjured,Surfing/Boarding,San Luis Obispo,1980
1982,39.9333333333,-123.9333333333,injured,Diving,Mendocino,1980
1982,36.5266666667,-121.9266666667,injured,Diving,Monterey,1980
1984,37.1916666667,-122.5083333333,fatal,Diving,San Mateo,1980
1984,32.785,-117.2566666667,injured,Swimming,San Diego,1980
1984,38.1816666667,-123.565,injured,Diving,Marin,1980
1985,34.04,-120.5366666667,injured,Diving,Island - San Miguel,1980
1985,33.75,-118.1,injured,Surfing/Boarding,Orange,1980
1985,38.1816666667,-123.665,uninjured,Diving,Marin,1980
1985,34.45,-120.675,injured,Diving,Santa Barbara,1980
1986,36.5266666667,-122.1266666667,injured,Diving,Monterey,1980
1987,37.492,-122.499,injured,Surfing/Boarding,San Mateo,1980
1987,37.05,-122.2533333333,injured,Surfing/Boarding,Santa Cruz,1980
1988,35.4033333333,-120.975,uninjured,Surfing/Boarding,San Luis Obispo,1980
1988,41.5616666667,-124.0883333333,injured,Surfing/Boarding,Del Norte,1980
1989,34.0183333333,-118.8833333333,fatal,Boating,Los Angeles,1980
1989,37.72,-123.5316666667,injured,Diving,Island - Farallones,1980
1990,37.5583333333,-122.5183333333,uninjured,Surfing/Boarding,San Mateo,1990
1990,41.0583333333,-124.15,injured,Surfing/Boarding,Humboldt,1990
1990,41.0583333333,-124.25,uninjured,Boating,Humboldt,1990
1990,38.475,-123.175,injured,Diving,Sonoma,1990
1990,36.5266666667,-122.2266666667,injured,Diving,Monterey,1990
1991,37.05,-122.3533333333,injured,Surfing/Boarding,Santa Cruz,1990
1991,37.05,-122.4533333333,injured,Surfing/Boarding,Santa Cruz,1990
1991,37.983,-122.99694,uninjured,Diving,Marin,1990
1991,40.0283333333,-124.0833333333,uninjured,Diving,Humboldt,1990
1992,41.5616666667,-124.1883333333,uninjured,Surfing/Boarding,Del Norte,1990
1992,34.04,-120.6366666667,injured,Diving,Island - San Miguel,1990
1992,33.2266666667,-119.5383333333,injured,Diving,Island - San Nicolas,1990
1992,37.1083333333,-122.4433333333,uninjured,Boating,San Mateo,1990
1992,33.37,-117.6,injured,Diving,San Diego,1990
1993,37.5966666667,-122.517,uninjured,Diving,San Mateo,1990
1993,39.6666666667,-123.785,injured,Diving,Mendocino,1990
1993,38.4366666667,-123.1333333333,uninjured,Boating,Sonoma,1990
1993,40.77,-124.2266666667,injured,Surfing/Boarding,Humboldt,1990
1994,34.04,-120.7366666667,fatal,Diving,Island - San Miguel,1990
1995,32.855,-117.48,injured,Boating,San Diego,1990
1995,36.5266666667,-122.0266666667,injured,Diving,Monterey,1990
1995,40.0283333333,-124.1833333333,injured,Diving,Humboldt,1990
1995,37.05,-122.5533333333,injured,Surfing/Boarding,Santa Cruz,1990
1996,38.1816666667,-123.765,injured,Diving,Marin,1990
1996,38.3583333333,-123.1766666667,uninjured,Surfing/Boarding,Sonoma,1990
1996,38.25,-122.9716666667,injured,Surfing/Boarding,Marin,1990
