Decade,total,fatal,injured,uninjured,population_m,rate_per_million
1790,1,1,0,0,0.005,200.0
1800,2,0,2,0,0.01,200.0
1820,2,1,1,0,0.03,66.67
1830,8,4,4,0,0.07,114.29
1840,7,4,3,0,0.19,36.84
1850,10,4,5,1,0.4,25.0
1860,12,5,7,0,1.15,10.43
1870,28,5,21,2,1.65,16.97
1880,27,12,10,5,2.25,12.0
1890,26,8,14,4,3.15,8.25
1900,29,11,15,3,3.75,7.73
1910,54,16,31,7,4.45,12.13
1920,81,32,43,6,5.45,14.86
1930,93,29,56,8,6.63,14.03
1940,51,17,28,6,7.08,7.2
1950,65,17,37,11,8.31,7.82
1960,52,7,36,9,10.39,5.0
1970,36,9,23,4,12.73,2.83
1980,65,12,38,15,14.7,4.42
1990,82,9,55,18,17.09,4.8
2000,164,14,100,50,19.15,8.56
2010,231,21,153,57,22.34,10.34
2020,70,12,41,17,25.5,2.75
