Victim.gender,Victim.injury,source_count,incidents_per_icon,icon_url,gender_row,unit_col,unit_row,unit_idx
male,fatal,232,10,assets/icons/male-fatal.svg,0,0,0,0
male,fatal,232,10,assets/icons/male-fatal.svg,0,1,0,1
male,fatal,232,10,assets/icons/male-fatal.svg,0,2,0,2
male,fatal,232,10,assets/icons/male-fatal.svg,0,3,0,3
male,fatal,232,10,assets/icons/male-fatal.svg,0,4,0,4
male,fatal,232,10,assets/icons/male-fatal.svg,0,5,0,5
male,fatal,232,10,assets/icons/male-fatal.svg,0,6,0,6
male,fatal,232,10,assets/icons/male-fatal.svg,0,7,0,7
male,fatal,232,10,assets/icons/male-fatal.svg,0,8,0,8
male,fatal,232,10,assets/icons/male-fatal.svg,0,9,0,9
male,fatal,232,10,assets/icons/male-fatal.svg,0,10,0,10
male,fatal,232,10,assets/icons/male-fatal.svg,0,11,0,11
male,fatal,232,10,assets/icons/male-fatal.svg,0,12,0,12
male,fatal,232,10,assets/icons/male-fatal.svg,0,13,0,13
male,fatal,232,10,assets/icons/male-fatal.svg,0,14,0,14
male,fatal,232,10,assets/icons/male-fatal.svg,0,15,0,15
male,fatal,232,10,assets/icons/male-fatal.svg,0,16,0,16
male,fatal,232,10,assets/icons/male-fatal.svg,0,17,0,17
male,fatal,232,10,assets/icons/male-fatal.svg,0,18,0,18
male,fatal,232,10,assets/icons/male-fatal.svg,0,19,0,19
male,fatal,232,10,assets/icons/male-fatal.svg,0,20,0,20
male,fatal,232,10,assets/icons/male-fatal.svg,0,21,0,21
male,fatal,232,10,assets/icons/male-fatal.svg,0,22,0,22
male,injured,625,10,assets/icons/male-injured.svg,0,23,0,23
male,injured,625,10,assets/icons/male-injured.svg,0,24,0,24
male,injured,625,10,assets/icons/male-injured.svg,0,25,0,25
male,injured,625,10,assets/icons/male-injured.svg,0,26,0,26
male,injured,625,10,assets/icons/male-injured.svg,0,27,0,27
male,injured,625,10,assets/icons/male-injured.svg,0,28,0,28
male,injured,625,10,assets/icons/male-injured.svg,0,29,0,29
male,injured,625,10,assets/icons/male-injured.svg,0,30,0,30
male,injured,625,10,assets/icons/male-injured.svg,0,31,0,31
male,injured,625,10,assets/icons/male-injured.svg,0,32,0,32
male,injured,625,10,assets/icons/male-injured.svg,0,33,0,33
male,injured,625,10,assets/icons/male-injured.svg,0,34,0,34
male,injured,625,10,assets/icons/male-injured.svg,0,0,1,35
male,injured,625,10,assets/icons/male-injured.svg,0,1,1,36
male,injured,625,10,assets/icons/male-injured.svg,0,2,1,37
male,injured,625,10,assets/icons/male-injured.svg,0,3,1,38
male,injured,625,10,assets/icons/male-injured.svg,0,4,1,39
male,injured,625,10,assets/icons/male-injured.svg,0,5,1,40
male,injured,625,10,assets/icons/male-injured.svg,0,6,1,41
male,injured,625,10,assets/icons/male-injured.svg,0,7,1,42
male,injured,625,10,assets/icons/male-injured.svg,0,8,1,43
male,injured,625,10,assets/icons/male-injured.svg,0,9,1,44
male,injured,625,10,assets/icons/male-injured.svg,0,10,1,45
male,injured,625,10,assets/icons/male-injured.svg,0,11,1,46
male,injured,625,10,assets/icons/male-injured.svg,0,12,1,47
male,injured,625,10,assets/icons/male-injured.svg,0,13,1,48
male,injured,625,10,assets/icons/male-injured.svg,0,14,1,49
male,injured,625,10,assets/icons/male-injured.svg,0,15,1,50
male,injured,625,10,assets/icons/male-injured.svg,0,16,1,51
male,injured,625,10,assets/icons/male-injured.svg,0,17,1,52
male,injured,625,10,assets/icons/male-injured.svg,0,18,1,53
male,injured,625,10,assets/icons/male-injured.svg,0,19,1,54
male,injured,625,10,assets/icons/male-injured.svg,0,20,1,55
male,injured,625,10,assets/icons/male-injured.svg,0,21,1,56
male,injured,625,10,assets/icons/male-injured.svg,0,22,1,57
male,injured,625,10,assets/icons/male-injured.svg,0,23,1,58
male,injured,625,10,assets/icons/male-injured.svg,0,24,1,59
male,injured,625,10,assets/icons/male-injured.svg,0,25,1,60
male,injured,625,10,assets/icons/male-injured.svg,0,26,1,61
male,injured,625,10,assets/icons/male-injured.svg,0,27,1,62
male,injured,625,10,assets/icons/male-injured.svg,0,28,1,63
male,injured,625,10,assets/icons/male-injured.svg,0,29,1,64
male,injured,625,10,assets/icons/male-injured.svg,0,30,1,65
male,injured,625,10,assets/icons/male-injured.svg,0,31,1,66
male,injured,625,10,assets/icons/male-injured.svg,0,32,1,67
male,injured,625,10,assets/icons/male-injured.svg,0,33,1,68
male,injured,625,10,assets/icons/male-injured.svg,0,34,1,69
male,injured,625,10,assets/icons/male-injured.svg,0,0,2,70
male,injured,625,10,assets/icons/male-injured.svg,0,1,2,71
male,injured,625,10,assets/icons/male-injured.svg,0,2,2,72
male,injured,625,10,assets/icons/male-injured.svg,0,3,2,73
male,injured,625,10,assets/icons/male-injured.svg,0,4,2,74
male,injured,625,10,assets/icons/male-injured.svg,0,5,2,75
male,injured,625,10,assets/icons/male-injured.svg,0,6,2,76
male,injured,625,10,assets/icons/male-injured.svg,0,7,2,77
male,injured,625,10,assets/icons/male-injured.svg,0,8,2,78
male,injured,625,10,assets/icons/male-injured.svg,0,9,2,79
male,injured,625,10,assets/icons/male-injured.svg,0,10,2,80
male,injured,625,10,assets/icons/male-injured.svg,0,11,2,81
male,injured,625,10,assets/icons/male-injured.svg,0,12,2,82
male,injured,625,10,assets/icons/male-injured.svg,0,13,2,83
male,injured,625,10,assets/icons/male-injured.svg,0,14,2,84
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,15,2,85
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,16,2,86
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,17,2,87
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,18,2,88
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,19,2,89
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,20,2,90
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,21,2,91
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,22,2,92
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,23,2,93
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,24,2,94
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,25,2,95
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,26,2,96
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,27,2,97
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,28,2,98
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,29,2,99
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,30,2,100
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,31,2,101
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,32,2,102
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,33,2,103
male,uninjured,203,10,assets/icons/male-uninjured.svg,0,34,2,104
female,fatal,16,10,assets/icons/female-fatal.png,1,0,0,0
female,fatal,16,10,assets/icons/female-fatal.png,1,1,0,1
female,injured,86,10,assets/icons/female-injured.png,1,2,0,2
female,injured,86,10,assets/icons/female-injured.png,1,3,0,3
female,injured,86,10,assets/icons/female-injured.png,1,4,0,4
female,injured,86,10,assets/icons/female-injured.png,1,5,0,5
female,injured,86,10,assets/icons/female-injured.png,1,6,0,6
female,injured,86,10,assets/icons/female-injured.png,1,7,0,7
female,injured,86,10,assets/icons/female-injured.png,1,8,0,8
female,injured,86,10,assets/icons/female-injured.png,1,9,0,9
female,injured,86,10,assets/icons/female-injured.png,1,10,0,10
female,uninjured,15,10,assets/icons/female-uninjured.png,1,11,0,11
female,uninjured,15,10,assets/icons/female-uninjured.png,1,12,0,12
