Shark.length.m,Victim.injury,Species.clean,State,Incident.year,Decade
0.30,injured,Wobbegong,WA,1984,1980
0.40,injured,Wobbegong,WA,2004,2000
0.40,injured,Wobbegong,WA,2004,2000
0.40,injured,Wobbegong,WA,2018,2010
0.50,injured,Wobbegong,NSW,2002,2000
0.60,injured,Wobbegong,WA,1930,1930
0.60,injured,Wobbegong,QLD,1962,1960
0.60,injured,Wobbegong,QLD,1990,1990
0.60,injured,Other,NSW,2004,2000
0.60,injured,Whaler Shark,QLD,2007,2000
0.60,injured,Wobbegong,VIC,2008,2000
0.60,injured,Wobbegong,WA,2009,2000
0.70,injured,Wobbegong,WA,1985,1980
0.70,injured,Wobbegong,WA,1996,1990
0.70,injured,Wobbegong,WA,2003,2000
0.80,injured,Wobbegong,WA,1914,1910
0.80,injured,Wobbegong,WA,1948,1940
0.80,injured,Bull Shark,NSW,2000,2000
0.80,injured,Wobbegong,WA,2008,2000
0.80,injured,Wobbegong,NSW,2016,2010
0.80,injured,Blacktip Reef,WA,2021,2020
0.90,injured,Wobbegong,WA,1924,1920
0.90,injured,Wobbegong,VIC,1956,1950
0.90,injured,Whaler Shark,QLD,1960,1960
0.90,injured,Unknown,QLD,2015,2010
1.00,injured,Wobbegong,NSW,1853,1850
1.00,injured,Bull Shark,QLD,1960,1960
1.00,injured,Wobbegong,WA,1981,1980
1.00,injured,Wobbegong,NT,1986,1980
1.00,injured,Wobbegong,NSW,1987,1980
1.00,injured,White Shark,WA,1991,1990
1.00,injured,Bull Shark,NSW,1995,1990
1.00,injured,Bull Shark,QLD,1997,1990
1.00,injured,Wobbegong,NSW,2001,2000
1.00,injured,Wobbegong,WA,2004,2000
1.00,injured,Wobbegong,WA,2004,2000
1.00,injured,Wobbegong,WA,2004,2000
1.00,injured,Wobbegong,NSW,2007,2000
1.00,injured,Wobbegong,WA,2008,2000
1.00,injured,Whitetip Reef,QLD,2010,2010
1.00,injured,Wobbegong,NSW,2011,2010
1.00,injured,Wobbegong,QLD,2011,2010
1.00,injured,Wobbegong,NSW,2013,2010
1.00,injured,Wobbegong,NSW,2014,2010
1.00,injured,Wobbegong,NSW,2014,2010
1.00,injured,Wobbegong,NSW,2014,2010
1.00,injured,Wobbegong,WA,2015,2010
1.00,injured,Lemon Shark,QLD,2016,2010
1.00,injured,Whaler Shark,WA,2017,2010
1.00,injured,Wobbegong,NSW,2018,2010
1.00,injured,Bull Shark,QLD,2019,2010
1.00,uninjured,Other,VIC,2011,2010
1.00,uninjured,Whaler Shark,NSW,2020,2020
1.00,uninjured,Wobbegong,WA,2021,2020
1.10,injured,White Shark,SA,1990,1990
1.20,injured,Unknown,SA,1877,1870
1.20,injured,Whaler Shark,QLD,1898,1890
1.20,injured,Wobbegong,WA,1920,1920
1.20,injured,Bull Shark,QLD,1928,1920
1.20,injured,Wobbegong,NSW,1936,1930
1.20,injured,Wobbegong,QLD,1938,1930
1.20,injured,Wobbegong,NSW,1951,1950
1.20,injured,Wobbegong,QLD,1956,1950
1.20,injured,White Shark,VIC,1988,1980
1.20,injured,Wobbegong,WA,1989,1980
1.20,injured,Wobbegong,QLD,1998,1990
1.20,injured,Wobbegong,WA,2000,2000
1.20,injured,Wobbegong,WA,2003,2000
1.20,injured,Wobbegong,NSW,2003,2000
1.20,injured,Wobbegong,NSW,2004,2000
1.20,injured,Wobbegong,NSW,2004,2000
1.20,injured,Wobbegong,QLD,2016,2010
1.20,uninjured,Dusky Shark,NSW,1991,1990
1.20,uninjured,Grey Nurse,NSW,2017,2010
1.30,injured,Wobbegong,NSW,1945,1940
1.30,injured,Other,NSW,1961,1960
1.30,injured,Wobbegong,WA,2003,2000
1.30,injured,Wobbegong,WA,2003,2000
1.30,injured,Wobbegong,NSW,2008,2000
1.30,injured,Bull Shark,QLD,2014,2010
1.30,injured,Galapagos Shark,NSW,2015,2010
1.30,uninjured,White Shark,WA,2012,2010
1.30,uninjured,Bull Shark,QLD,2015,2010
1.40,injured,Wobbegong,NSW,2010,2010
1.40,uninjured,White Shark,VIC,2014,2010
1.50,injured,Bull Shark,QLD,1929,1920
1.50,injured,Tiger Shark,QLD,1931,1930
1.50,injured,Bull Shark,WA,1959,1950
1.50,injured,Bronze Whaler,VIC,1960,1960
1.50,injured,Wobbegong,VIC,1965,1960
1.50,injured,Wobbegong,WA,1981,1980
1.50,injured,Bull Shark,QLD,1990,1990
1.50,injured,Bull Shark,QLD,1991,1990
1.50,injured,Whitetip Reef,QLD,1993,1990
1.50,injured,Bull Shark,QLD,1994,1990
1.50,injured,Tiger Shark,QLD,1997,1990
1.50,injured,Wobbegong,WA,2001,2000
1.50,injured,Other,QLD,2001,2000
1.50,injured,Whaler Shark,QLD,2002,2000
1.50,injured,Wobbegong,NSW,2003,2000
1.50,injured,Bronze Whaler,WA,2004,2000
1.50,injured,Bull Shark,QLD,2005,2000
1.50,injured,Whitetip Reef,QLD,2005,2000
1.50,injured,Unknown,QLD,2007,2000
1.50,injured,Wobbegong,WA,2007,2000
1.50,injured,Whaler Shark,NSW,2009,2000
1.50,injured,White Shark,VIC,2010,2010
1.50,injured,White Shark,VIC,2012,2010
1.50,injured,Wobbegong,QLD,2013,2010
1.50,injured,White Shark,SA,2014,2010
1.50,injured,Galapagos Shark,NSW,2015,2010
1.50,uninjured,Wobbegong,TAS,1916,1910
1.50,uninjured,White Shark,NSW,2005,2000
1.60,injured,Tiger Shark,QLD,1954,1950
1.60,injured,Wobbegong,SA,1994,1990
1.60,injured,White Shark,NSW,2007,2000
1.60,injured,Wobbegong,NSW,2010,2010
1.70,injured,Wobbegong,QLD,1914,1910
1.70,injured,Bull Shark,NSW,1938,1930
1.70,injured,White Shark,WA,2000,2000
1.70,injured,White Shark,WA,2010,2010
1.70,injured,White Shark,VIC,2013,2010
1.70,injured,Wobbegong,NSW,2013,2010
1.80,injured,Bull Shark,NSW,1897,1890
1.80,injured,White Shark,NSW,1907,1900
1.80,injured,White Shark,WA,1910,1910
1.80,injured,Tiger Shark,QLD,1927,1920
1.80,injured,Tiger Shark,QLD,1938,1930
1.80,injured,Bull Shark,NSW,1939,1930
1.80,injured,Wobbegong,NSW,1951,1950
1.80,injured,White Shark,VIC,1952,1950
1.80,injured,Wobbegong,NSW,1953,1950
1.80,injured,Wobbegong,QLD,1955,1950
1.80,injured,Wobbegong,NSW,1958,1950
1.80,injured,Wobbegong,QLD,1959,1950
1.80,injured,Tiger Shark,QLD,1959,1950
1.80,injured,Wobbegong,NSW,1966,1960
1.80,injured,White Shark,TAS,1966,1960
1.80,injured,Bull Shark,WA,1969,1960
1.80,injured,Wobbegong,NSW,1980,1980
1.80,injured,Wobbegong,NSW,1986,1980
1.80,injured,Wobbegong,NSW,1986,1980
1.80,injured,Bull Shark,QLD,1990,1990
1.80,injured,Tiger Shark,QLD,1995,1990
1.80,injured,White Shark,VIC,2005,2000
1.80,injured,Whaler Shark,QLD,2007,2000
1.80,injured,Whaler Shark,WA,2009,2000
1.80,injured,Bull Shark,QLD,2010,2010
1.80,injured,Bull Shark,NSW,2010,2010
1.80,injured,Whaler Shark,WA,2011,2010
1.80,injured,Whaler Shark,WA,2011,2010
1.80,injured,Wobbegong,NSW,2012,2010
1.80,injured,Wobbegong,NSW,2014,2010
1.80,injured,White Shark,VIC,2015,2010
1.80,injured,Grey Reef,WA,2016,2010
1.80,uninjured,Bull Shark,NSW,1903,1900
1.80,uninjured,Bull Shark,NSW,2002,2000
1.80,uninjured,White Shark,NSW,2007,2000
1.80,uninjured,White Shark,NSW,2013,2010
1.90,uninjured,Whaler Shark,NSW,2009,2000
1.90,uninjured,White Shark,QLD,2010,2010
2.00,fatal,Bull Shark,NSW,1906,1900
2.00,fatal,White Shark,SA,1989,1980
2.00,fatal,Bull Shark,QLD,2002,2000
2.00,fatal,Bull Shark,QLD,2006,2000
2.00,injured,Wobbegong,NSW,1874,1870
2.00,injured,White Shark,NSW,1894,1890
2.00,injured,Bull Shark,QLD,1901,1900
2.00,injured,Tiger Shark,QLD,1934,1930
2.00,injured,Bull Shark,NSW,1947,1940
2.00,injured,Wobbegong,NSW,1949,1940
2.00,injured,Tiger Shark,QLD,1961,1960
2.00,injured,Wobbegong,WA,1965,1960
2.00,injured,Bronze Whaler,NSW,1967,1960
2.00,injured,Tiger Shark,QLD,1973,1970
2.00,injured,Wobbegong,NSW,1975,1970
2.00,injured,Whaler Shark,NSW,1979,1970
2.00,injured,Grey Reef,QLD,1980,1980
2.00,injured,Whitetip Reef,QLD,1985,1980
2.00,injured,Tiger Shark,QLD,1987,1980
2.00,injured,Wobbegong,NSW,1989,1980
2.00,injured,Whaler Shark,QLD,1989,1980
2.00,injured,Bull Shark,NT,1989,1980
2.00,injured,Bull Shark,QLD,1989,1980
2.00,injured,Tiger Shark,NT,1989,1980
2.00,injured,Unknown,QLD,1991,1990
2.00,injured,Grey Nurse,NSW,1991,1990
2.00,injured,White Shark,SA,1995,1990
2.00,injured,Bull Shark,NSW,1996,1990
2.00,injured,Tiger Shark,QLD,1997,1990
2.00,injured,White Shark,NSW,2001,2000
2.00,injured,Whaler Shark,NT,2005,2000
2.00,injured,Blacktip Reef,QLD,2005,2000
2.00,injured,Wobbegong,QLD,2006,2000
2.00,injured,White Shark,NSW,2007,2000
2.00,injured,Grey Reef,QLD,2009,2000
2.00,injured,White Shark,NSW,2009,2000
2.00,injured,White Shark,WA,2009,2000
2.00,injured,Wobbegong,NSW,2009,2000
2.00,injured,White Shark,NSW,2010,2010
2.00,injured,White Shark,NSW,2010,2010
2.00,injured,Unknown,NSW,2015,2010
2.00,injured,Grey Reef,QLD,2018,2010
2.00,injured,Whaler Shark,NSW,2018,2010
2.00,injured,Bronze Whaler,VIC,2018,2010
2.00,injured,Wobbegong,NSW,2020,2020
2.00,injured,Tiger Shark,WA,2021,2020
2.00,uninjured,Tiger Shark,NSW,1948,1940
