Shark.length.m,Victim.injury,Species.clean,State,Incident.year,length_floor,length_band,unit_col,unit_row
0.30,injured,Wobbegong,WA,1984,0,0–1 m,0,0
0.40,injured,Wobbegong,WA,2004,0,0–1 m,1,0
0.40,injured,Wobbegong,WA,2004,0,0–1 m,2,0
0.40,injured,Wobbegong,WA,2018,0,0–1 m,3,0
0.50,injured,Wobbegong,NSW,2002,0,0–1 m,4,0
0.60,injured,Wobbegong,WA,1930,0,0–1 m,0,1
0.60,injured,Wobbegong,QLD,1962,0,0–1 m,1,1
0.60,injured,Wobbegong,QLD,1990,0,0–1 m,2,1
0.60,injured,Other,NSW,2004,0,0–1 m,3,1
0.60,injured,Whaler Shark,QLD,2007,0,0–1 m,4,1
0.60,injured,Wobbegong,VIC,2008,0,0–1 m,0,2
0.60,injured,Wobbegong,WA,2009,0,0–1 m,1,2
0.70,injured,Wobbegong,WA,1985,0,0–1 m,2,2
0.70,injured,Wobbegong,WA,1996,0,0–1 m,3,2
0.70,injured,Wobbegong,WA,2003,0,0–1 m,4,2
0.80,injured,Wobbegong,WA,1914,0,0–1 m,0,3
0.80,injured,Wobbegong,WA,1948,0,0–1 m,1,3
0.80,injured,Bull Shark,NSW,2000,0,0–1 m,2,3
0.80,injured,Wobbegong,WA,2008,0,0–1 m,3,3
0.80,injured,Wobbegong,NSW,2016,0,0–1 m,4,3
0.80,injured,Blacktip Reef,WA,2021,0,0–1 m,0,4
0.90,injured,Wobbegong,WA,1924,0,0–1 m,1,4
0.90,injured,Wobbegong,VIC,1956,0,0–1 m,2,4
0.90,injured,Whaler Shark,QLD,1960,0,0–1 m,3,4
0.90,injured,Unknown,QLD,2015,0,0–1 m,4,4
1.00,injured,Wobbegong,NSW,1853,1,1–2 m,0,0
1.00,injured,Bull Shark,QLD,1960,1,1–2 m,1,0
1.00,injured,Wobbegong,WA,1981,1,1–2 m,2,0
1.00,injured,Wobbegong,NT,1986,1,1–2 m,3,0
1.00,injured,Wobbegong,NSW,1987,1,1–2 m,4,0
1.00,injured,White Shark,WA,1991,1,1–2 m,0,1
1.00,injured,Bull Shark,NSW,1995,1,1–2 m,1,1
1.00,injured,Bull Shark,QLD,1997,1,1–2 m,2,1
1.00,injured,Wobbegong,NSW,2001,1,1–2 m,3,1
1.00,injured,Wobbegong,WA,2004,1,1–2 m,4,1
1.00,injured,Wobbegong,WA,2004,1,1–2 m,0,2
1.00,injured,Wobbegong,WA,2004,1,1–2 m,1,2
1.00,injured,Wobbegong,NSW,2007,1,1–2 m,2,2
1.00,injured,Wobbegong,WA,2008,1,1–2 m,3,2
1.00,injured,Whitetip Reef,QLD,2010,1,1–2 m,4,2
1.00,injured,Wobbegong,NSW,2011,1,1–2 m,0,3
1.00,injured,Wobbegong,QLD,2011,1,1–2 m,1,3
1.00,injured,Wobbegong,NSW,2013,1,1–2 m,2,3
1.00,injured,Wobbegong,NSW,2014,1,1–2 m,3,3
1.00,injured,Wobbegong,NSW,2014,1,1–2 m,4,3
1.00,injured,Wobbegong,NSW,2014,1,1–2 m,0,4
1.00,injured,Wobbegong,WA,2015,1,1–2 m,1,4
1.00,injured,Lemon Shark,QLD,2016,1,1–2 m,2,4
1.00,injured,Whaler Shark,WA,2017,1,1–2 m,3,4
1.00,injured,Wobbegong,NSW,2018,1,1–2 m,4,4
1.00,injured,Bull Shark,QLD,2019,1,1–2 m,0,5
1.10,injured,White Shark,SA,1990,1,1–2 m,1,5
1.20,injured,Unknown,SA,1877,1,1–2 m,2,5
1.20,injured,Whaler Shark,QLD,1898,1,1–2 m,3,5
