Incident.year,Latitude,Longitude,Victim.injury,Activity.clean,Location,Decade
1951,-34.53333333,150.8666667,injured,Spearfishing,"windang, lake illawarra, wollongong",1950
1951,-33.88333333,151.2666667,injured,Swimming,"bondi beach, sydney",1950
1951,-33.63333333,151.3166667,injured,Surfing/Boarding,"avalon beach, sydney.",1950
1951,-32.93333333,151.75,fatal,Swimming,"merewether beach, newcastle",1950
1951,-33.36666667,151.4333333,uninjured,Surfing/Boarding,"terrigal, central coast",1950
1952,-29.1,153.4333333,injured,Surfing/Boarding,evan's head,1950
1953,-33.86666667,151.2,injured,Spearfishing,sydney,1950
1953,-34.56666667,150.8666667,injured,Spearfishing,"shellharbour, wollongong",1950
1953,-33.71666667,151.3,injured,Spearfishing,"collaroy beach, sydney",1950
1953,-33.73333333,151.3,injured,Spearfishing,"long reef, sydney",1950
1953,-33.93333333,151.25,uninjured,Swimming,"maroubra beach, sydney",1950
1953,-33.93333333,151.25,injured,Swimming,"maroubra beach, sydney",1950
1954,-33.45,151.4333333,injured,Swimming,avoca beach,1950
1954,-33.33333333,151.5,fatal,Swimming,"the entrance, gosford",1950
1955,-33.81666667,151.25,fatal,Spearfishing,"balmoral beach, wyargine point",1950
1955,-33.78333333,151.2166667,fatal,Swimming,"sugarloaf bay, sydney harbour",1950
1955,-33.41666667,151.45,fatal,Swimming,"wamberal beach, gosford.",1950
1957,-28.63333333,153.6166667,uninjured,Surfing/Boarding,"byron bay, sharkey's beach ",1950
1957,-32.93333333,151.75,injured,Swimming,"merewether beach, newcastle",1950
1957,-32.68333333,152.1833333,injured,Spearfishing,"port stephens, mount yakaba head",1950
1958,-28.53333333,153.55,injured,Swimming,brunswick heads,1950
1958,-35.2,150.55,injured,Spearfishing,"swan lake, sussex inlet",1950
1958,-33.05,151.6333333,uninjured,Fishing,"lake macquarie, speers point",1950
1958,-32.71666667,152.1666667,injured,Spearfishing,"port stephens, shoal bay",1950
1959,-34.3,150.9166667,uninjured,Spearfishing,thirroul near wollongong,1950
1960,-33.76666667,151.2,fatal,Snorkelling,"roseville bridge, sydney",1960
1960,-30.86666667,153.0333333,injured,Swimming,"horseshoe bay, kempsey",1960
